# Avida time data
# Fri Jul 01 15:38:02 2011
#  1: update
#  2: avida time
#  3: average generation
#  4: num_executed?

0 0 0 30 
100 1.03093 7 1710 
200 2.0651 14.9197 11580 
300 3.10499 22.7214 29940 
400 4.14454 30.5063 57270 
500 5.18429 38.2317 92550 
600 6.22559 46.0743 98040 
