# The number of kabooms.
# Fri Jun 24 15:22:14 2011
#  1: Update [update]
#  2: number of kabooms

0 0 
100 0 
200 2 
300 2 
400 11 
500 51 
600 77 
700 87 
800 78 
900 127 
1000 126 
1100 134 
1200 159 
1300 249 
1400 265 
1500 367 
1600 431 
1700 571 
1800 850 
1900 1112 
2000 1362 
2100 1568 
2200 1798 
2300 1812 
2400 1866 
2500 2144 
2600 2104 
2700 1941 
2800 2054 
2900 2207 
3000 2053 
3100 2160 
3200 2270 
3300 2248 
3400 2136 
3500 2035 
3600 2109 
3700 2243 
3800 2165 
3900 2208 
4000 2132 
4100 2157 
4200 2110 
4300 2234 
4400 2145 
4500 2182 
4600 2275 
4700 2249 
4800 2191 
4900 2401 
5000 2265 
